Date,yhat,avg_1y,forward_avg_1y
2016-06-15,30979.82665408026,29678.024060273972,31301.396969863017
2016-06-16,31011.404483678136,29726.03887123288,31423.668315068495
2016-06-17,30916.739508982853,29715.407408219176,31398.300824657537
2016-06-18,30805.56669812619,29654.754947945206,31326.235378082194
2016-06-19,30751.107504283205,29653.20535890411,31330.518252054797
2016-06-20,30760.60708487852,29813.940843835615,31447.257512328768
2016-06-21,30725.923891351908,29854.861142465754,31339.78936164383
2016-06-22,30752.308858128603,29823.292630136988,31279.844758904106
2016-06-23,30732.50734481661,29922.1511369863,31363.57895616438
2016-06-24,30765.977355977528,29957.57581369863,31343.019635616438
2016-06-25,30758.179994701884,29888.18081917808,31243.049871232877
2016-06-26,30758.24342583486,29896.415890410957,31255.098320547946
2016-06-27,30788.40048468026,29974.958679452055,31302.838942465754
2016-06-28,30805.56820860124,29944.669284931504,31338.264819178083
2016-06-29,30821.698163803358,29877.38690958904,31381.31884109589
2016-06-30,30824.439000486236,29975.69247671233,31413.038030136988
2016-07-01,30831.263310863666,29996.19434520548,31382.350002739728
2016-07-02,30836.34153084805,29951.9858,31287.112079452054
2016-07-03,30827.13944660327,29913.218517808218,31280.751252054797
2016-07-04,30829.963758720318,30022.1322630137,31358.471816438356
2016-07-05,30840.703927940125,30061.34512328767,31349.02752328767
2016-07-06,30852.343855129933,30048.947147945208,31340.073021917804
2016-07-07,30859.532849473988,30080.127073972606,31385.462268493153
2016-07-08,30866.297932075016,30095.771876712326,31430.726526027396
2016-07-09,30866.85347896757,29973.35150684931,31349.164463013698
2016-07-10,30869.564937406714,29954.90591506849,31333.21775342466
2016-07-11,30868.95565350141,30023.55340821918,31382.872701369863
2016-07-12,30869.058110404974,30024.423339726025,31373.732652054794
2016-07-13,30871.02450894226,30025.606197260273,31372.351747945206
2016-07-14,30870.89611436293,30056.6815369863,31390.64391780822
2016-07-15,30887.728110812997,30115.56363561644,31411.98859726027
2016-07-16,30920.07662724683,30084.986997260276,31332.42169589041
2016-07-17,30952.495055195195,30076.407323287673,31314.846736986303
2016-07-18,30975.582167863053,30129.59561369863,31350.37858904109
2016-07-19,31001.76762799002,30165.26543287671,31336.807819178084
2016-07-20,31039.70293057171,30167.88275342466,31295.445038356167
2016-07-21,31077.624031363106,30208.039753424662,31307.303043835615
2016-07-22,31116.722476635485,30264.11884383562,31318.751715068494
2016-07-23,31156.874004309422,30233.391739726027,31307.42354520548
2016-07-24,31197.110694899045,30206.92826849315,31305.348967123286
2016-07-25,31235.980132040782,30227.970865753425,31329.66900547945
2016-07-26,31273.599580072532,30223.69962739726,31326.809564383562
2016-07-27,31311.19792295315,30232.21506027397,31338.459704109588
2016-07-28,31347.19685455467,30227.79309863014,31328.63664109589
2016-07-29,31382.886206468716,30273.046528767125,31371.29317260274
2016-07-30,31420.17726876017,30257.81375890411,31328.870972602745
2016-07-31,31458.11181983281,30245.1629369863,31323.838641095892
2016-08-01,31493.437084317284,30253.88828767123,31332.981427397262
2016-08-02,31527.79270798168,30260.1632630137,31320.947673972605
2016-08-03,31562.304187078396,30271.28583287671,31293.696252054797
2016-08-04,31595.464929037174,30268.718849315064,31289.662619178078
2016-08-05,31628.005043834703,30297.479717808215,31315.175290410956
2016-08-06,31662.18124069105,30254.203890410958,31284.066983561643
2016-08-07,31696.622003726236,30239.219189041098,31272.06894794521
2016-08-08,31729.286140506218,30242.43976986301,31290.943432876713
2016-08-09,31761.626678638775,30234.577254794523,31306.55818630137
2016-08-10,31793.48122533493,30227.961717808223,31300.201800000003
2016-08-11,31825.036683871138,30245.70163287671,31306.639789041095
2016-08-12,31856.178976893185,30279.90541917808,31332.244254794517
2016-08-13,31887.63145123274,30241.85141369863,31293.368695890407
2016-08-14,31918.975700474537,30223.87347123288,31290.979345205484
2016-08-15,31949.229443133918,30227.373980821914,31326.84581917808
2016-08-16,31968.245246214567,30194.32276986301,31341.52176712329
2016-08-17,31996.906496037263,30177.049673972604,31332.2549260274
2016-08-18,32025.817003759665,30197.799243835616,31349.230142465753
2016-08-19,32053.494175064967,30201.423156164383,31355.652495890412
2016-08-20,32070.774773942056,30146.916934246576,31312.345652054795
2016-08-21,32087.793635565595,30136.08633150685,31312.267328767128
2016-08-22,32104.82899109909,30195.276567123285,31338.874523287675
2016-08-23,32129.076228281283,30216.959202739723,31333.507657534246
2016-08-24,32155.932725557377,30182.25010684932,31357.270320547945
2016-08-25,32184.212987612595,30226.440884931508,31379.13033150685
2016-08-26,32201.534925396256,30197.26931506849,31384.732668493154
2016-08-27,32218.845070653257,30163.353364383558,31292.70014246575
2016-08-28,32235.311286051918,30152.888835616435,31257.634147945206
2016-08-29,32251.448142061447,30203.821090410962,31309.94226849315
2016-08-30,32266.622607719404,30173.79864931507,31352.614345205482
2016-08-31,32281.645942345527,30147.5972630137,31396.425720547944
2016-09-01,32293.711305178225,30171.886709589042,31464.434906849317
2016-09-02,32305.968774383233,30206.012276712332,31480.03476438356
2016-09-03,32315.92240245189,30131.18237260274,31365.29075890411
2016-09-04,32325.54742412488,30124.80283561644,31326.625684931507
2016-09-05,32337.674808345335,30196.549553424662,31372.671887671233
2016-09-06,32353.062877989403,30205.59901917808,31366.96515068493
2016-09-07,32364.08021242493,30191.439808219176,31348.980290410964
2016-09-08,32385.716441081127,30300.881161643836,31345.17287123288
2016-09-09,32406.72069400565,30267.455547945206,31340.803731506847
2016-09-10,32417.272129571775,30207.911293150682,31242.921934246573
2016-09-11,32427.32356218363,30214.255000000005,31232.676873972603
